Unnamed: 0,Turbidity ,Chroma,pH ,DO,electrical conductivity,UV254,COD,TOC,BOD,nitrate nitrogen,ammonia nitrogen,TN,phosphate,TP,Unnamed: 15,Algal density（×10^5cells/ml), Specific growth rate,Total photosynthetic pigments,Dry cell weight,protein(%),polysaccharide(%),lipid(%),N(%),C(%),S(%),H(%),O(%),P(%),N conversion rate(%),P conversion rate(%)
桃花潭,12.57,47.0,8.2,8.42,481.0,0.081,21.9,3.82,5.0,3.93,1.13,5.27,0.011,0.026,,7.84667,0.102111845,0.23913,49.91,4.08008658,6.304511278,0.22163165,3.875,47.775,0.4485,7.6125,32.555,0.112100083,0.563068342,0.878200381
汉城湖,3.88,32.0,8.5,9.09,541.0,0.119,28.0,3.64,1.5,1.96,0.07,2.14,0.025,0.029,,7.14889,0.120179557,0.20717,43.68,5.155116337,4.579776938,1.822245062,4.455,49.55,0.4775,8.1735,32.0205,0.164825898,0.602928473,0.857684036
丰庆湖,15.23,48.0,9.17,10.17,185.1,0.098,40.6,6.12,2.5,0.11,0.04,0.17,0.012,0.028,,5.54333,0.071312383,0.08472,6.54,2.495107632,17.71449171,0.766911726,2.365,45.855,0.44,7.807,35.948,0.219909388,0.36237378,0.221249912
思源湖,6.52,37.0,8.57,9.93,737.0,0.136,45.6,7.38,1.0,4.6,0.78,6.6,0.573,0.683,,2.06667,0.025566674,0.12621,8.78,4.527,10.751,1.898,6.07,42.51,0.737,4.762,32.582,0.449810522,0.07345,0.14341
广运潭,12.12,28.0,8.18,10.37,493.5,0.049,17.5,2.26,1.5,4.93,0.41,6.16,0.034,0.068,,11.145,0.227525596,0.60823,59.3,3.493113692,5.273206646,0.165096233,2.945,37.66,0.379,6.552,33.7975,0.183017323,0.454545493,0.741368275
桃花潭,46.65,75.0,8.09,10.48,522.0,0.069,24.7,4.01,5.5,3.5,1.48,5.66,0.022,0.258,,7.46,0.17017766,0.47093,58.78,2.908316365,4.038279307,0.816154811,3.065,36.975,0.3875,3.3025,32.3025,0.1268314,0.474064194,0.905496299
汉城湖,4.62,22.0,8.51,11.2,798.0,0.062,14.8,2.91,1.0,3.61,0.09,4.3,0.019,0.054,,6.31667,0.138246205,0.45811,57.05,2.475298477,5.17224708,0.88145216,2.795,35.445,0.4515,3.2135,32.244,0.087195914,0.46041755,0.86871756
丰庆湖,14.75,41.0,9.24,12.16,182.5,0.058,52.6,8.79,1.5,0.07,0.0,1.21,0.013,0.073,,6.12167,0.115187756,0.09778,13.3,2.429836669,14.6840834,1.533676534,2.435,46.82,0.409,7.8855,38.3105,0.144542091,0.194736895,0.259841565
思源湖,3.34,39.5,9.03,16.05,753.0,0.122,32.1,4.1,0.5,7.08,0.1,8.89,0.637,0.837,,78.21111,0.458283066,2.481,65.62,5.349,12.321,13.674,6.43,45.35666667,0.411333333,12.844,34.27866667,0.4333561,0.557928155,0.249728821
思源水厂,2.76,31.0,8.52,14.93,735.5,0.111,33.1,5.52,1.5,12.42,0.17,14.15,1.315,1.711,,84.18889,0.451843896,2.514,103.41,4.685,8.779,9.347,4.523333333,38.94,0.184333333,11.23633333,34.542,0.456035898,0.952207045,0.249716319
广运潭,7.68,24.5,8.42,12.64,568.5,0.031,19.2,1.69,0.5,6.11,0.48,7.34,0.022,0.081,,9.85556,0.133646916,0.601,47.85,3.719,18.571,5.321,4.003333333,47.61333333,0.017,10.46066667,33.55533333,0.113169498,0.714729327,0.550322663
桃花潭,6.26,25.5,8.15,12.39,550.5,0.033,12.7,2.56,0.5,4.72,1.96,7.43,0.022,0.068,,9.37444,0.161922187,0.862,51.49,4.923,16.976,10.111,4.25,49.02666667,0.0,10.77433333,33.57533333,0.074192091,0.61504735,0.444006108
汉城湖,2.6,17.5,8.7,13.91,897.0,0.031,27.9,1.83,0.5,4.89,0.09,5.83,0.03,0.069,,9.48,0.138385997,0.681,48.19,3.583,16.024,8.725,4.16,49.09,0.0,10.99866667,33.06333333,0.089034589,0.729421541,0.565546731
丰庆湖,9.56,39.0,9.17,12.92,194.2,0.054,70.4,11.31,6.5,0.28,0.12,1.29,0.012,0.045,,9.57556,0.131905277,0.18,17.84,0.237,27.099,12.859,,,,8.316666667,40.92366667,0.131931036,0.6,0.198085322
思源湖,8.33,51.0,9.45,7.78,540.5,0.099,39.7,8.27,7.5,1.54,1.56,4.38,,1.132,,49.76667,0.459171186,0.81181,40.85,1.667,16.258,1.215,3.23,45.95666667,0.017,9.534333333,35.17566667,0.437584686,0.256134856,0.125085818
思源水厂,2.76,20.5,7.67,7.21,754.0,0.111,19.7,6.74,2.5,8.21,0.44,9.39,,2.393,,76.0,0.501774507,2.27453,111.7,2.804,6.162,6.69,3.98,38.62666667,0.004333333,10.16733333,33.165,0.743359323,0.652891174,0.314467267
广运潭,7.13,33.5,8.04,7.27,367.0,0.04,14.0,4.22,1.0,2.97,0.73,3.91,0.102,0.142,,25.38333,0.287890318,1.03397,60.79,3.334,12.403,3.988,4.48,49.02333333,0.0,10.65533333,31.55033333,0.17144143,0.530224067,0.822113927
桃花潭,5.36,28.5,8.27,7.82,396.0,0.032,13.1,3.79,3.5,2.48,0.27,3.08,0.102,0.137,,16.3,0.264079396,0.99305,68.63,2.59,11.487,0.82,3.633333333,43.73333333,0.0,9.351333333,31.769,0.167954612,0.567832687,0.890727897
汉城湖,4.18,17.5,8.29,7.76,834.0,0.017,20.4,3.58,2.5,0.81,0.07,1.37,,0.039,,14.61667,0.220009474,0.45736,37.14,1.889,20.556,1.184,2.27,44.76666667,0.0,8.682333333,35.51266667,0.084199276,0.305164194,0.622195773
北石桥,3.02,11.5,7.53,7.24,642.0,0.071,14.3,5.57,3.0,6.9,0.12,7.02,,0.24,,49.88333,0.386530725,1.46706,81.41,2.581,6.001,6.173,3.933333333,40.86666667,0.0,10.07766667,33.45633333,0.156922225,0.579861774,0.281381529
汉城湖,4.5,21.0,7.8,8.0,666.0,0.1105,61.29787234,5.921,7.5,0.084759576,0.0102183,2.729551451,,0.466137319,,4.53,0.116796394,0.063065,4.81,0.399,16.792,13.573,,,,10.37833333,29.84933333,0.206923414,0.0,0.331629873
思源水厂,2.9,22.0,7.44,7.64,699.0,0.1415,35.44680851,6.989666667,2.5,2.162999185,0.23780771,3.666226913,,6.503035965,,12.68333333,0.245996925,0.424892222,61.67,0.702,4.055,1.587,2.73,21.66333333,0.0,9.068,24.83533333,1.098674342,0.312799227,0.173899457
广运潭,7.7,39.0,8.09,8.53,376.0,0.073,21.72340426,3.183333333,1.0,2.162999185,1.166744078,3.389182058,0.138,0.195235871,,6.12,0.095637814,0.19,27.74,2.123,7.364,4.241,3.76,40.93,0.0,8.918,33.04033333,0.186578003,0.318592904,0.477518951
思源湖,8.9,71.0,9.42,9.92,465.0,0.064,29.06382979,2.259,3.5,0.960880196,0.655829076,1.85883905,,1.101821579,,26.2,0.331878767,0.459200124,34.0,1.18,16.67,1.467,3.39,53.6,0.0,9.154,37.587,0.249173306,0.469424292,0.061939459
护城湖,4.3,16.0,8.7,10.69,591.0,0.053,19.38297872,4.024,2.5,5.58190709,0.0,6.5323219,0.012,0.162540869,,6.74,0.09845693,0.206,19.07,2.569,9.341,1.424,4.325,47.845,0.0,10.61766667,33.95033333,0.11891406,0.202065388,0.168323065
北石桥,2.8,9.0,7.94,8.71,639.0,0.117,19.4893617,5.612333333,3.0,9.212713936,0.024152346,9.978891821,,0.258290518,,31.1,0.319033574,0.97,44.63,3.474,7.315,6.97,5.67,47.28666667,0.0,11.09033333,34.62233333,0.237652026,0.590825079,0.205021726
