,Turbidity ,Chroma,pH ,DO,electrical conductivity,UV254,COD,TOC,BOD,nitrate nitrogen,ammonia nitrogen,TN,Nitrogen to phosphorus ratio,Organic carbon nitrogen ratio,Organic carbon to phosphorus ratio,Dissolved oxygen and nitrogen ratio,phosphate,TP,Algal density（×10^5cells/ml), Specific growth rate,Total photosynthetic pigments,Dry cell weight,protein(%),polysaccharide(%),N(%),C(%),H(%),O(%),P(%),N conversion rate(%),P conversion rate(%)
ammonia nitrogen,0.2034360211950917,0.36629907723445115,-0.16321576244334973,-0.30932652732712473,0.026646498510941447,0.06055537579167055,0.04346732271050353,-0.09577471657849966,0.11138420292044553,-0.008151081816182912,1.0,0.15994610834798043,-0.1483657002725384,-0.24573242957935545,-0.2787789781642065,-0.3703725705198609,0.15974226356450563,0.18724173832777394,-0.02516596821911417,0.034711737448427676,-0.053712194112900576,0.1640811810163829,-0.2775425009604215,-0.2584616718667448,-0.020639226637770458,-0.2658421496108456,-0.13230056486920194,-0.2650430781818337,-0.10466595824850689,-0.2290224402515822,0.2173531740163112
TN,-0.4527701902771519,-0.47476594037382364,-0.3724582747767108,0.17947444770536627,0.6104186695077006,0.14356521353722337,-0.19037343806495463,-0.2734289166256367,-0.4201356002738424,0.974628314246601,0.15994610834798043,1.0,-0.1508867916447249,-0.6771888478976446,-0.6024111439964449,-0.7830602724184292,0.4762315405783188,0.5093402240062401,0.5983270985432484,0.4531751192060052,0.5963275586403336,0.7560120266306388,-0.46821706649506867,-0.32022506055829364,0.7253776256222837,-0.20667532323593604,0.46281007630708565,-0.6166575348354935,0.026153769719704737,0.24993471015678947,-0.06200359675592505
Nitrogen to phosphorus ratio,0.3212882217086583,0.062065712929110686,-0.10979683948388874,-0.10340270904854235,-0.3328301462102821,-0.1172804540567197,-0.2638884732731268,-0.20172501230419396,0.2195687045116335,-0.08514934044448048,-0.1483657002725384,-0.1508867916447249,1.0,-0.06292218669265201,0.6273733823522044,-0.04800491436333898,-0.5620746853684752,-0.5826880610731523,-0.5106052505709193,-0.4719237257090804,-0.21371781893178202,-0.25639503052261964,0.510368592744943,-0.21945501363193898,-0.02700859075383627,0.29960961790826957,-0.37693262999863886,0.16993446762777156,-0.22251878347493723,0.3636262411387562,0.43335436010053907
Organic carbon nitrogen ratio,0.31462715547570436,0.29306723985029726,0.5102189702809736,0.1427948539588507,-0.5326503175422239,-0.1248959451487204,0.6772967213278421,0.6674987331122668,0.3742263340739981,-0.6814777569740021,-0.24573242957935545,-0.6771888478976446,-0.06292218669265201,1.0,0.6196697328539762,0.7511758319317081,-0.2510826584337789,-0.2658764941807661,-0.3338092924757409,-0.3214626410825888,-0.5331796865562957,-0.6505414499108568,0.18284637988969324,0.45337942706776135,-0.5758541335447876,0.23422376234952846,-0.3888529396921229,0.5321308871172565,0.01644624985008811,-0.2435298506690852,-0.3402139953337035
Organic carbon to phosphorus ratio,0.37890030379005735,0.32660356128180296,0.2591954853070057,-0.01250091232195888,-0.5529527200597558,0.022654774174079743,0.2668637913291848,0.4067334100606885,0.5990705884072728,-0.5575662261197709,-0.2787789781642065,-0.6024111439964449,0.6273733823522044,0.6196697328539762,1.0,0.4961883811253673,-0.4877142406205957,-0.5156302514144493,-0.48481677352173075,-0.46756705921542774,-0.4095935330637215,-0.6029811232065337,0.6069688779520959,0.06840280738038369,-0.384189424911341,0.2829545673023767,-0.5016781408154548,0.5656020221936516,-0.021094275267396004,0.24800710226584877,0.024701105584466244
Dissolved oxygen and nitrogen ratio,0.45462386993475723,0.4381565370870559,0.4717654994993444,0.22937859199595123,-0.4680214320282503,-0.042558067181982295,0.2669398335692008,0.3928241317170217,0.33784773599170914,-0.7534270455366967,-0.3703725705198609,-0.7830602724184292,-0.04800491436333898,0.7511758319317081,0.4961883811253673,1.0,-0.3118247668556184,-0.3414897335942903,-0.35178198767694524,-0.32016657400092713,-0.49625469665473737,-0.7006608034143349,0.48623053862783594,0.454412200203331,-0.6911387384435218,0.059748725439684375,-0.34352191556303785,0.5970980697198989,0.17432241680638724,-0.13717554424129097,-0.23927040646538464
phosphate,-0.4085240320561051,-0.11109252959774368,0.006977827526167513,0.03863067964432736,0.4464829442373525,0.4109011079117308,0.11826444372124272,0.1293932897695768,-0.18198090282421217,0.41769317910863163,0.15974226356450563,0.4762315405783188,-0.5620746853684752,-0.2510826584337789,-0.4877142406205957,-0.3118247668556184,1.0,0.9953700421812582,0.8693685205126503,0.8087756799830919,0.5900399325090749,0.5308009998129524,-0.28507730423887656,-0.0030238503560951323,0.332605527325064,-0.24294236324312507,0.46055610951518583,-0.16407139230722964,0.5637267977005409,0.1587363893782199,-0.45279451110755226
TP,-0.40087279878159093,-0.11259311703111223,-0.011829806649990286,0.04067564966809703,0.4605961553820575,0.38381149288194827,0.11443804142917659,0.11564214668910877,-0.19985118741251076,0.4423752293868501,0.18724173832777394,0.5093402240062401,-0.5826880610731523,-0.2658764941807661,-0.5156302514144493,-0.3414897335942903,0.9953700421812582,1.0,0.8580000486173497,0.7926639761008666,0.5813114181922908,0.5378608345519843,-0.32146600825023974,-0.01883794759652624,0.33663975424057363,-0.2630192610679431,0.4479094018200816,-0.18983072206202167,0.5306849712763536,0.14156058500843258,-0.44780584419990094
Algal density（×10^5cells/ml),-0.45624252931243053,-0.22143347097902358,-0.06056009099567277,0.12789312297400252,0.5332314556329296,0.5041477494732939,0.06667808206340727,0.16265760552994918,-0.1767204890169352,0.5761754615964442,-0.02516596821911417,0.5983270985432484,-0.5106052505709193,-0.3338092924757409,-0.48481677352173075,-0.35178198767694524,0.8693685205126503,0.8580000486173497,1.0,0.9239089770691965,0.7985269746159749,0.6651744782668242,-0.20504032504464564,-0.04183938410790792,0.47872412315397417,-0.26445790700199906,0.5261201056319461,-0.19003008318092451,0.5630585375341348,0.21601917472734877,-0.4358330240552081
 Specific growth rate,-0.37471945355109115,-0.08894092658760365,0.03231303868661526,0.05753219772498391,0.4628295953592589,0.4500667111707674,0.061223996424008775,0.15429118215748044,-0.013965140657664655,0.41700974827232656,0.034711737448427676,0.4531751192060052,-0.4719237257090804,-0.3214626410825888,-0.46756705921542774,-0.32016657400092713,0.8087756799830919,0.7926639761008666,0.9239089770691965,1.0,0.8251427837048874,0.6316306276752647,-0.14879262468086518,0.03225983962687292,0.3380318349046696,-0.22489309957155804,0.3897379289479192,-0.1376967083919011,0.5201689038331767,0.170680632559477,-0.407965718679286
Total photosynthetic pigments,-0.41663495219417046,-0.29065523899092516,-0.22981455704139023,0.09349834052980686,0.48718687712234265,0.27824969735944505,-0.18641163875183964,-0.06239242078054524,-0.15470128345212208,0.5996893093160344,-0.053712194112900576,0.5963275586403336,-0.21371781893178202,-0.5331796865562957,-0.4095935330637215,-0.49625469665473737,0.5900399325090749,0.5813114181922908,0.7985269746159749,0.8251427837048874,1.0,0.77964909957847,-0.10252350189436975,-0.1279419513400017,0.46713092822739233,-0.2777427797992578,0.4918659154829803,-0.23097928884807692,0.27896226608129465,0.4687321484058218,-0.17821915940759517
Dry cell weight,-0.4066543830866667,-0.3662797517414898,-0.5020246138129009,0.0007513168229053864,0.6142474065082452,0.24779845297658312,-0.21098410101789838,-0.2581158900388939,-0.3554936051086201,0.759190004304829,0.1640811810163829,0.7560120266306388,-0.25639503052261964,-0.6505414499108568,-0.6029811232065337,-0.7006608034143349,0.5308009998129524,0.5378608345519843,0.6651744782668242,0.6316306276752647,0.77964909957847,1.0,-0.47415731681122886,-0.4051460122423275,0.5828795639450087,-0.32077894721607475,0.37750151808959803,-0.6282245822053819,0.0020869472990491184,0.35563825075091743,0.17556682057845976
protein(%),0.46034035885239133,0.47648724178461876,0.2118204281859727,-0.0019548742072730664,-0.4140911970116566,0.23286783341439457,-0.12333427538786985,0.21868733628026552,0.5833533219245443,-0.42637361666734896,-0.2775425009604215,-0.46821706649506867,0.510368592744943,0.18284637988969324,0.6069688779520959,0.48623053862783594,-0.28507730423887656,-0.32146600825023974,-0.20504032504464564,-0.14879262468086518,-0.10252350189436975,-0.47415731681122886,1.0,-0.01361112813762179,-0.34516674243430845,-0.05874769926373117,-0.33183415463321086,0.6530361423908074,0.45719106955611505,0.14921682038665526,0.05572495062668378
polysaccharide(%),-0.2144834581645198,-0.10159884146533439,0.5796403123534724,0.34648307885420926,-0.0387627662928311,-0.3600310782108736,0.32946510504432625,0.20657233211465525,0.04991326822435459,-0.33672087571604076,-0.2584616718667448,-0.32022506055829364,-0.21945501363193898,0.45337942706776135,0.06840280738038369,0.454412200203331,-0.0030238503560951323,-0.01883794759652624,-0.04183938410790792,0.03225983962687292,-0.1279419513400017,-0.4051460122423275,-0.01361112813762179,1.0,-0.3023378724081902,0.42258007720415136,0.15837357473596092,0.3406736222718794,0.06575995919930598,-0.14580139574857062,-0.4601121843961407
N(%),-0.5317898994938921,-0.36545322398808533,-0.06830077299028005,0.2870703308627356,0.4015076041142343,0.4198805691071586,-0.032032568412920154,-0.276787495629921,-0.35596982796223986,0.7681795510850907,-0.020639226637770458,0.7253776256222837,-0.02700859075383627,-0.5758541335447876,-0.384189424911341,-0.6911387384435218,0.332605527325064,0.33663975424057363,0.47872412315397417,0.3380318349046696,0.46713092822739233,0.5828795639450087,-0.34516674243430845,-0.3023378724081902,1.0,0.26950480822148914,0.4848339238733071,-0.5359169564144878,0.02483204521023327,0.3342241094307479,-0.05247981187244275
C(%),-0.2556339193894615,-0.12970618553003876,0.5343456549013623,0.23867353767353378,-0.15818928353163844,-0.011205566200278247,0.32501030244715384,0.04387795526241308,0.07651603101058972,-0.15004687055307891,-0.2658421496108456,-0.20667532323593604,0.29960961790826957,0.23422376234952846,0.2829545673023767,0.059748725439684375,-0.24294236324312507,-0.2630192610679431,-0.26445790700199906,-0.22489309957155804,-0.2777427797992578,-0.32077894721607475,-0.05874769926373117,0.42258007720415136,0.26950480822148914,1.0,0.013727037105315079,0.03029429465920638,-0.20204662213151717,0.039003712572489496,-0.18782639801597137
H(%),-0.6299520154911793,-0.4934608431482745,-0.08734259896323898,0.13272574491543077,0.546477239268408,0.015750880619583466,-0.0966869752309242,-0.2074494868973001,-0.4320370109948733,0.47749543679031375,-0.13230056486920194,0.46281007630708565,-0.37693262999863886,-0.3888529396921229,-0.5016781408154548,-0.34352191556303785,0.46055610951518583,0.4479094018200816,0.5261201056319461,0.3897379289479192,0.4918659154829803,0.37750151808959803,-0.33183415463321086,0.15837357473596092,0.4848339238733071,0.013727037105315079,1.0,-0.13681517596486203,0.056875980999339264,0.10273559575663382,-0.2936365998833314
O(%),0.3439950722109214,0.4268952468681575,0.4328703337505794,0.0073737049005876895,-0.5518556325149458,0.024831385024671904,0.23874335957508164,0.45078517287599573,0.4760002938911363,-0.6129568704447298,-0.2650430781818337,-0.6166575348354935,0.16993446762777156,0.5321308871172565,0.5656020221936516,0.5970980697198989,-0.16407139230722964,-0.18983072206202167,-0.19003008318092451,-0.1376967083919011,-0.23097928884807692,-0.6282245822053819,0.6530361423908074,0.3406736222718794,-0.5359169564144878,0.03029429465920638,-0.13681517596486203,1.0,0.3379535577327858,-0.09448737584244848,-0.25393942781435624
P(%),-0.0406708786424228,0.20519900968950325,0.3119991238360299,0.03642075159535683,-0.02400620983558425,0.54935940905091,0.10849722275049249,0.42199666452246654,0.2563836860273855,0.0013340343334574218,-0.10466595824850689,0.026153769719704737,-0.22251878347493723,0.01644624985008811,-0.021094275267396004,0.17432241680638724,0.5637267977005409,0.5306849712763536,0.5630585375341348,0.5201689038331767,0.27896226608129465,0.0020869472990491184,0.45719106955611505,0.06575995919930598,0.02483204521023327,-0.20204662213151717,0.056875980999339264,0.3379535577327858,1.0,-0.013619420201323324,-0.37288998248971006
N conversion rate(%),-0.10413024433469681,-0.04713902655310592,-0.11802373320587231,0.3504789648904297,0.10906094869378348,0.1965054877416536,-0.1780518225559116,-0.19938072384412692,-0.019747330629259978,0.31782369700358376,-0.2290224402515822,0.24993471015678947,0.3636262411387562,-0.2435298506690852,0.24800710226584877,-0.13717554424129097,0.1587363893782199,0.14156058500843258,0.21601917472734877,0.170680632559477,0.4687321484058218,0.35563825075091743,0.14921682038665526,-0.14580139574857062,0.3342241094307479,0.039003712572489496,0.10273559575663382,-0.09448737584244848,-0.013619420201323324,1.0,0.0012862767796863108
P conversion rate(%),0.27901744268445544,0.04628474271901961,-0.5589949875537764,-0.3947708863714402,-0.025152775234400637,-0.19735375422048024,-0.4562300687316906,-0.4810860046759089,-0.11476508722222269,-0.043353907200895096,0.2173531740163112,-0.06200359675592505,0.43335436010053907,-0.3402139953337035,0.024701105584466244,-0.23927040646538464,-0.45279451110755226,-0.44780584419990094,-0.4358330240552081,-0.407965718679286,-0.17821915940759517,0.17556682057845976,0.05572495062668378,-0.4601121843961407,-0.05247981187244275,-0.18782639801597137,-0.2936365998833314,-0.25393942781435624,-0.37288998248971006,0.0012862767796863108,1.0
